cluster,Itm2a,Elof1,Dcn,Cd9,Snhg11,C1qc,Ermn,Agt,Rax
1,1,1,0,8,0,0,0,0,0
1,0,0,0,1,0,0,0,0,2
1,0,2,0,2,0,1,0,0,2
1,0,0,0,0,1,0,0,0,0
1,1,1,0,3,0,0,0,0,1
1,0,3,0,12,0,0,0,0,1
1,0,3,0,8,0,0,0,0,0
1,2,2,0,4,0,1,0,3,3
1,0,1,0,2,0,0,0,1,1
1,0,0,0,3,1,0,0,0,7
1,0,2,0,5,0,0,0,0,3
1,2,4,0,12,0,1,0,0,4
1,0,1,0,11,0,0,0,0,1
1,0,0,1,3,0,0,0,0,0
1,0,2,0,9,0,0,0,1,0
1,0,1,0,7,0,0,0,1,2
1,2,0,1,2,0,0,0,0,5
1,0,1,0,4,0,0,0,0,4
1,4,0,0,4,4,0,0,0,5
1,0,1,0,2,0,0,0,0,0
1,0,3,0,8,1,0,0,1,1
1,0,1,0,3,0,0,0,0,4
1,0,0,0,2,0,0,1,0,1
1,0,0,0,11,0,0,0,0,2
1,0,2,0,13,0,0,0,0,3
1,1,1,1,6,0,0,0,0,5
1,0,0,0,3,0,0,0,0,2
1,0,2,0,6,0,0,0,0,10
1,1,1,0,5,1,0,0,0,1
1,0,0,0,5,0,0,0,0,1
1,1,0,0,8,0,0,0,2,3
1,0,2,1,0,0,0,0,0,1
1,1,0,0,9,1,0,0,1,4
1,1,1,0,5,0,0,0,0,2
1,0,0,0,7,0,0,0,1,1
1,0,0,0,4,0,0,0,0,0
1,0,0,0,0,2,1,0,0,0
1,0,2,0,6,0,0,0,1,4
1,0,1,0,5,0,0,0,0,0
1,0,3,1,10,0,0,0,0,0
1,0,1,0,4,0,0,0,1,5
1,1,1,0,3,0,0,0,0,1
1,0,1,0,5,0,1,0,2,8
1,0,0,0,1,0,0,0,0,4
1,0,1,0,7,0,0,0,1,10
1,0,2,0,2,6,0,0,1,0
1,0,1,0,11,0,0,0,0,3
1,1,2,0,8,1,0,0,0,10
1,0,0,0,1,0,0,0,0,9
1,0,1,0,3,0,0,0,0,0
1,0,1,0,10,0,0,0,0,0
1,0,1,1,6,5,0,0,0,8
1,0,0,0,3,0,0,0,0,5
1,0,1,0,5,0,1,0,0,0
1,0,1,0,2,0,1,0,1,4
1,0,2,0,5,0,0,0,1,0
1,0,1,0,9,0,0,0,0,7
1,0,2,0,0,1,0,0,1,1
1,0,2,1,3,0,0,0,0,0
1,0,1,0,2,0,0,0,1,1
1,0,1,0,0,2,0,0,0,1
1,0,2,0,15,0,0,0,0,0
1,0,0,0,7,1,1,0,0,7
1,2,1,0,1,0,1,0,0,4
1,0,4,0,4,0,0,0,0,2
1,0,2,0,11,0,0,0,0,1
1,0,1,0,16,1,1,0,0,0
1,1,1,0,18,0,0,0,0,3
1,0,0,0,8,0,0,0,1,1
1,0,0,0,1,0,0,0,0,9
1,0,2,0,6,0,0,0,2,0
1,0,1,0,3,0,0,0,0,4
1,0,0,0,0,8,0,0,0,4
1,0,1,0,4,0,0,0,0,5
1,0,0,0,1,0,0,0,1,1
1,0,2,0,4,0,0,0,0,0
1,0,1,0,10,0,1,0,1,0
1,0,0,0,5,0,0,0,0,3
1,0,1,0,4,0,0,0,0,2
1,2,0,1,9,0,0,0,0,4
1,0,0,0,3,0,0,0,0,0
1,0,3,0,8,0,1,0,0,2
1,0,2,0,7,0,0,0,0,3
1,1,0,0,9,1,0,0,0,1
1,0,1,1,8,0,0,0,0,0
1,4,4,0,7,2,1,0,2,3
1,0,2,0,9,0,0,0,0,0
1,1,1,0,4,0,1,0,0,2
1,1,2,0,5,0,0,0,0,8
1,1,2,0,6,1,0,0,0,1
1,0,1,0,5,0,0,0,0,1
1,0,0,0,4,0,0,0,0,3
1,0,2,0,9,1,1,0,0,0
1,0,0,0,3,0,0,0,0,1
1,0,3,0,4,0,0,1,1,0
1,0,1,0,4,0,1,0,2,2
1,0,2,1,5,0,1,0,0,1
1,0,0,0,2,0,0,1,0,3
1,0,3,0,7,0,0,0,0,9
1,0,1,0,4,0,1,0,0,5
1,0,1,0,9,0,0,0,0,0
1,0,2,0,6,0,0,0,0,0
1,0,0,0,5,0,0,0,0,0
1,0,0,0,5,0,0,0,2,1
1,0,3,0,2,0,0,0,0,3
1,0,0,0,1,0,0,0,1,10
1,0,1,0,5,0,0,0,0,1
1,0,3,0,8,0,0,0,0,0
1,0,2,1,3,0,0,0,1,3
1,0,4,0,15,2,0,0,2,0
1,0,1,0,6,0,0,0,0,5
1,0,3,0,2,0,1,0,0,2
1,0,3,0,3,0,0,0,0,4
1,1,1,0,6,0,0,0,0,5
1,0,3,0,6,0,0,0,0,1
1,0,0,0,10,0,0,0,0,10
1,0,1,0,5,0,0,0,0,0
1,0,1,0,4,0,1,0,0,2
1,0,0,1,4,0,0,0,0,1
1,0,3,1,0,0,0,0,0,1
1,0,0,0,4,0,0,0,1,0
1,5,2,0,4,2,0,0,0,5
1,0,0,0,7,1,0,0,0,6
1,1,0,0,1,1,0,0,0,1
1,0,2,0,3,0,0,0,0,1
1,2,0,1,10,0,0,0,0,1
1,0,1,0,2,0,0,0,0,1
1,0,1,0,4,0,0,0,0,2
1,0,0,0,5,0,0,0,0,2
1,1,3,0,2,0,0,0,0,2
1,0,2,1,9,0,0,0,0,4
1,0,1,0,0,0,0,0,0,4
1,0,0,0,3,0,0,0,4,0
1,0,0,0,2,0,0,0,0,1
1,1,1,0,2,0,0,0,1,6
1,0,1,0,4,0,0,0,0,2
1,0,1,0,4,1,0,0,0,2
1,0,1,0,6,0,1,0,0,4
1,0,1,1,2,1,0,0,1,2
1,1,0,0,6,0,1,0,0,8
1,0,0,0,3,0,0,0,0,0
1,0,0,0,2,0,0,0,0,1
1,0,1,0,0,7,1,0,0,1
1,0,1,0,5,0,0,0,0,0
1,1,0,0,6,0,0,0,0,3
1,1,2,0,5,0,1,0,2,5
1,0,0,0,5,0,0,0,2,0
1,0,2,0,2,0,0,0,0,2
1,2,1,0,7,1,0,0,0,4
1,0,0,0,14,0,0,0,0,0
1,1,2,0,5,1,0,0,1,3
1,0,0,0,5,0,1,0,0,0
1,0,0,0,4,0,0,0,2,0
1,0,1,1,1,0,0,0,1,7
1,0,0,0,5,1,0,0,0,1
1,1,0,0,7,0,0,0,0,8
1,0,5,0,12,0,0,0,0,1
1,1,0,0,5,0,0,0,3,2
1,0,0,0,6,0,0,0,0,2
1,0,0,0,6,0,0,0,0,14
1,0,3,0,13,0,0,0,0,2
1,0,1,0,4,0,0,0,0,2
1,1,2,0,8,0,0,0,0,0
1,1,2,0,2,0,1,0,1,1
1,1,2,1,1,0,1,0,0,2
1,0,0,0,0,0,0,0,0,1
1,2,4,1,9,0,0,0,0,7
1,0,0,0,2,0,0,0,0,0
1,0,0,0,3,0,0,0,0,3
1,0,0,0,4,0,0,0,0,1
1,0,1,0,2,1,0,0,0,0
1,0,1,0,5,0,0,0,0,2
1,1,1,0,11,0,0,0,0,4
1,0,1,0,3,0,0,0,1,1
1,0,0,0,0,0,0,0,0,2
1,0,1,0,2,0,1,0,0,2
1,0,1,0,5,2,0,0,0,1
1,0,2,0,8,0,0,0,0,0
1,0,0,0,8,0,0,0,0,5
1,1,0,0,17,0,0,0,0,3
1,0,4,0,17,0,0,0,0,0
1,0,0,0,3,0,0,0,0,1
1,0,1,1,2,2,2,0,0,11
1,0,1,0,8,1,0,0,0,4
1,0,6,0,5,0,0,0,0,2
1,0,3,0,2,0,0,0,0,11
1,2,3,0,3,2,0,0,0,3
1,0,0,0,2,0,0,0,6,0
1,1,3,0,3,0,0,1,0,2
1,0,0,0,11,0,0,0,3,2
1,0,0,0,4,0,1,0,0,5
1,0,3,0,8,0,0,0,0,2
1,0,2,0,9,0,1,0,0,1
1,0,2,0,4,0,0,0,0,2
1,1,2,0,10,0,0,0,0,1
1,1,1,0,11,0,0,0,0,7
1,0,0,0,5,0,0,1,0,0
1,2,0,0,7,1,0,0,0,3
1,0,1,0,1,0,0,0,0,5
1,0,1,0,10,1,0,0,11,0
1,0,2,0,5,0,1,0,2,0
1,0,1,0,5,0,0,0,0,2
1,0,0,0,3,1,0,0,0,0
1,0,0,0,7,0,0,0,0,4
1,0,0,0,4,0,0,0,1,1
1,1,2,1,3,1,0,0,2,3
1,0,0,0,10,1,0,0,0,0
1,1,1,0,3,0,0,0,0,2
1,0,2,1,10,0,0,0,0,1
1,0,0,0,6,1,0,0,3,0
1,1,1,0,3,0,1,0,0,7
1,0,0,0,2,2,0,0,13,0
1,0,0,0,4,0,1,0,0,6
1,2,3,0,8,1,0,0,1,3
1,0,1,0,2,0,0,0,1,0
1,0,5,0,3,0,0,0,0,3
1,0,1,0,3,0,0,0,0,3
1,1,0,0,1,1,0,0,0,0
1,0,1,0,4,0,0,0,0,0
1,0,1,1,4,0,0,0,1,4
1,0,2,0,1,0,0,0,0,10
1,0,1,0,1,0,0,0,0,1
1,0,1,0,10,0,0,0,1,1
1,0,2,0,13,1,0,0,0,1
1,0,2,0,7,1,0,0,0,7
1,0,0,0,15,0,0,0,0,0
1,0,0,0,4,0,0,0,1,6
1,1,1,0,7,0,0,0,0,2
1,0,2,0,5,0,1,0,0,4
1,0,0,0,4,0,0,0,0,7
1,0,1,0,10,1,0,0,0,3
1,0,0,0,8,1,0,0,0,0
1,0,2,0,5,0,0,0,0,0
1,0,2,0,4,0,0,0,1,3
1,0,3,0,5,1,0,0,1,1
1,1,2,0,4,0,0,0,0,3
1,1,3,0,1,0,0,0,0,1
1,0,2,1,7,1,0,0,0,0
1,0,2,3,3,1,0,0,1,3
1,0,1,0,5,0,0,0,0,2
1,0,0,1,12,0,0,0,12,0
1,0,0,0,5,0,0,0,0,3
1,0,0,0,8,0,0,0,0,0
1,0,2,0,4,0,0,0,0,11
1,2,2,1,7,0,0,1,0,1
1,0,0,0,3,0,0,0,0,6
1,0,2,1,3,0,0,0,0,0
1,0,0,0,4,0,0,0,1,2
1,0,2,0,3,0,0,0,0,1
1,0,3,0,1,0,0,0,0,2
1,2,1,0,9,0,0,0,0,4
1,0,0,0,2,0,0,0,0,5
1,0,0,0,2,0,0,0,1,3
1,0,0,0,6,0,0,0,1,2
1,0,0,0,4,1,0,0,0,4
1,0,3,0,5,0,0,0,0,2
1,2,1,0,11,0,0,0,0,1
1,1,1,0,15,1,0,0,0,3
1,0,1,0,6,0,0,0,0,3
1,0,1,0,2,0,1,1,0,4
1,0,0,0,4,0,0,0,0,8
1,0,2,0,10,0,0,0,1,3
1,0,1,0,4,0,0,0,0,6
1,0,2,0,7,1,0,0,0,1
1,0,2,0,6,1,0,0,1,6
1,0,2,1,2,4,0,0,2,1
1,0,1,0,2,0,0,0,1,0
1,0,0,0,9,0,0,0,0,2
1,1,2,0,4,1,0,0,1,4
1,2,1,1,6,0,0,0,0,3
1,0,4,1,8,0,0,0,1,5
1,2,1,0,10,3,0,0,0,0
1,0,1,1,3,0,0,0,1,2
1,0,0,0,6,1,0,0,0,1
1,0,3,0,13,1,0,0,1,1
1,0,1,0,7,0,0,0,0,5
1,1,0,0,10,0,0,0,4,3
1,0,1,0,2,0,0,0,1,7
1,2,1,0,7,0,0,0,0,4
1,1,0,0,3,0,0,0,0,1
1,1,0,0,3,0,0,0,0,3
1,2,3,0,4,1,0,0,0,5
1,0,1,0,5,0,0,0,0,1
1,1,3,0,4,0,0,0,0,3
1,0,0,0,0,0,0,0,2,0
1,1,0,0,7,0,0,0,0,6
1,0,0,0,0,0,0,0,1,0
1,0,1,0,8,0,1,0,0,4
1,1,0,0,2,0,0,0,0,2
1,2,1,0,7,0,0,0,0,0
1,1,0,0,8,3,0,0,0,2
1,0,2,0,8,1,0,0,0,0
1,1,0,0,4,0,0,0,0,2
1,0,1,0,4,0,1,0,0,1
1,0,0,0,5,0,0,0,0,4
1,0,3,0,3,0,0,0,2,0
1,0,0,1,16,2,0,0,0,1
1,0,2,0,3,1,0,0,0,2
1,0,1,0,2,0,0,0,0,10
1,0,0,0,5,0,0,0,0,0
1,0,1,0,3,0,0,0,0,1
1,0,3,0,4,0,0,0,0,0
1,0,0,0,4,0,0,0,1,5
1,0,3,0,13,0,0,0,0,0
1,0,1,1,10,2,0,0,0,1
1,0,0,0,4,0,0,0,0,0
1,0,2,1,4,0,0,0,1,4
1,0,2,0,8,0,0,0,0,6
1,0,2,0,1,0,0,1,1,2
1,0,0,0,1,0,0,0,0,3
1,0,1,0,7,0,0,0,4,0
1,0,1,0,8,0,0,0,0,3
1,0,1,1,1,0,0,0,1,0
1,0,1,0,4,0,0,0,0,1
1,0,1,0,6,0,0,0,0,5
1,0,1,0,4,0,0,0,0,5
1,0,0,1,3,1,1,0,0,3
1,0,0,0,12,0,0,0,3,0
1,0,1,0,9,0,1,0,1,0
1,0,1,0,1,0,0,0,0,9
1,0,0,1,10,0,0,0,1,4
1,0,3,0,8,0,0,0,3,0
1,0,0,0,9,0,0,0,0,0
1,0,0,0,4,0,0,0,0,2
1,0,0,0,6,0,0,0,4,0
1,0,2,0,3,0,0,0,0,8
1,0,1,0,2,0,0,0,0,1
1,0,2,0,2,0,0,0,0,1
1,0,1,0,2,0,0,0,0,4
1,0,3,1,6,0,0,0,0,5
1,0,0,0,5,0,0,0,0,3
1,1,0,0,6,0,0,0,0,1
1,0,1,0,2,0,0,0,0,2
1,0,1,0,5,1,0,0,1,5
1,0,0,0,1,1,0,0,0,8
1,0,1,0,1,0,0,0,0,1
1,0,2,0,14,0,0,0,0,1
1,0,2,0,8,0,0,0,1,0
1,2,2,0,9,2,0,0,1,5
1,2,2,0,7,0,0,0,1,2
1,0,1,0,1,0,0,0,0,3
1,2,1,0,3,0,0,0,1,1
1,0,5,0,8,0,1,0,0,2
1,0,0,1,2,0,0,0,0,1
1,0,1,0,9,1,1,1,0,7
1,0,1,0,14,0,0,0,0,0
1,0,0,0,5,0,1,0,0,2
1,0,1,0,0,0,0,0,0,5
1,0,0,0,6,0,0,0,1,5
1,1,0,0,1,0,0,0,0,4
1,1,1,0,6,2,0,1,0,1
1,0,1,0,0,3,1,1,1,1
1,0,2,0,4,0,0,0,14,0
1,0,2,0,10,1,0,0,0,1
1,0,2,0,7,0,0,0,2,0
1,0,0,1,9,0,0,0,1,3
1,0,1,0,2,0,0,0,0,10
1,1,0,0,2,0,0,0,0,0
1,0,1,2,3,0,0,1,0,0
1,0,3,0,3,0,0,0,1,2
1,1,0,0,6,0,0,0,0,3
1,1,1,0,6,0,1,0,0,0
1,0,2,0,2,0,0,0,0,1
1,0,1,0,6,1,0,0,1,4
1,0,1,0,8,0,0,0,0,1
1,0,0,0,9,0,0,0,0,1
1,0,0,0,0,0,0,0,0,2
1,0,2,1,3,1,0,0,1,0
1,0,1,0,1,0,0,0,0,0
1,0,0,0,14,1,0,1,0,0
1,0,4,1,0,0,0,0,0,9
1,0,2,0,2,1,0,0,0,4
1,0,1,0,8,0,1,0,1,0
1,0,2,0,5,1,0,0,4,0
1,0,1,0,3,0,0,0,3,1
1,0,0,0,2,0,0,0,0,1
1,2,4,0,4,3,1,0,1,5
1,0,2,0,4,0,0,0,0,4
1,0,3,0,4,1,0,0,1,1
1,0,1,0,8,0,0,0,4,0
1,1,0,0,8,0,0,0,1,7
1,1,0,0,1,0,0,0,0,1
1,0,1,0,2,0,0,0,0,0
1,0,0,0,3,0,0,0,0,0
1,0,1,0,1,0,0,0,0,0
1,0,2,0,5,0,0,0,0,7
1,0,2,0,13,0,0,0,1,2
1,0,0,0,9,0,0,0,0,1
1,0,1,0,2,0,0,0,1,0
1,0,0,0,4,0,0,0,0,1
1,0,2,0,0,1,0,0,3,0
1,1,1,0,5,1,0,0,1,2
1,0,1,0,7,0,0,0,1,1
1,0,1,0,6,0,0,0,0,2
1,0,0,2,16,0,0,0,1,1
1,0,3,0,4,0,0,0,1,8
1,0,1,0,1,0,0,0,0,1
1,0,1,0,11,0,0,0,0,4
1,0,0,0,5,1,0,0,0,1
1,1,1,0,4,2,0,0,0,13
1,0,1,1,0,3,0,0,0,0
1,0,2,0,1,1,0,0,1,3
1,0,0,0,2,0,0,0,0,1
1,1,2,0,9,0,1,1,0,3
1,4,2,0,7,1,1,0,0,2
1,0,1,0,3,0,0,0,0,5
1,0,1,0,9,0,0,0,0,0
1,0,0,0,3,0,0,0,0,2
1,0,0,0,2,0,0,0,3,0
1,0,0,0,3,0,0,0,0,1
1,0,4,0,6,1,1,0,0,4
1,0,1,0,9,0,0,0,1,0
1,0,0,0,4,0,0,0,0,4
1,0,2,0,4,0,0,0,0,2
1,0,0,0,7,1,0,0,7,0
1,0,0,0,2,0,0,0,0,2
1,1,0,0,1,1,1,0,0,2
1,0,0,0,6,0,0,0,0,9
1,2,1,1,4,1,1,0,0,1
1,0,1,1,6,0,1,0,0,4
1,0,1,0,4,0,1,0,1,2
1,0,1,1,0,0,0,0,1,0
1,1,1,0,5,0,0,0,0,1
1,0,0,0,8,2,1,0,0,4
1,0,1,0,1,1,1,0,0,0
1,2,3,0,8,0,0,0,1,1
1,3,1,0,6,0,0,0,0,5
1,0,3,1,7,0,1,0,0,4
1,0,2,1,3,0,0,0,0,0
1,0,0,1,3,0,0,0,0,6
1,0,1,0,7,0,0,0,1,1
1,1,1,0,7,0,0,0,3,0
1,0,2,0,1,0,0,0,1,1
1,0,0,1,4,1,0,0,0,4
1,0,2,0,11,0,0,0,1,0
1,0,0,0,2,1,0,0,0,2
1,1,1,0,4,0,0,0,0,5
1,0,1,0,8,0,0,0,0,9
1,0,0,0,3,2,0,0,1,2
1,0,2,0,11,0,0,0,1,1
1,1,3,0,2,1,0,0,0,2
1,1,1,0,7,0,0,0,0,4
1,1,7,1,9,1,0,0,0,5
1,1,0,0,10,1,0,0,1,0
1,0,1,0,2,1,0,0,0,1
1,1,2,0,10,0,0,0,0,1
1,1,2,0,5,0,0,0,0,5
1,0,0,0,23,1,0,1,1,0
1,0,1,0,3,0,0,0,0,7
1,0,2,1,7,1,0,0,4,0
1,1,2,1,1,0,0,0,0,0
1,0,1,0,0,5,0,0,0,1
1,0,1,0,4,0,0,0,1,9
1,0,0,1,3,0,0,0,0,5
1,1,1,0,4,1,1,0,0,6
1,0,3,0,4,0,0,0,1,1
1,0,3,0,8,1,0,0,0,3
1,0,2,0,8,0,0,0,0,6
1,0,1,0,3,0,0,0,0,3
1,1,1,0,6,0,0,0,0,0
1,0,0,1,2,0,0,0,1,5
1,0,3,0,5,1,0,0,1,7
1,0,1,0,2,1,0,0,1,4
1,1,2,0,4,0,0,1,1,1
1,0,2,1,6,0,0,0,0,3
1,0,2,0,4,1,1,0,1,7
1,0,0,0,4,1,0,0,0,5
1,1,1,0,3,0,0,1,1,0
1,0,2,0,4,1,0,0,1,0
1,0,0,0,14,0,0,0,1,3
1,0,0,0,6,0,0,0,0,8
1,0,1,0,12,0,0,0,0,0
1,1,0,0,9,0,0,0,0,0
1,0,5,0,7,0,0,0,0,2
1,0,1,0,14,1,0,1,1,7
1,1,0,0,1,1,0,0,0,0
1,0,2,0,7,0,0,0,0,1
1,0,0,1,6,0,0,0,0,0
1,0,3,0,5,0,0,0,1,4
1,0,0,0,7,0,0,0,1,4
1,1,2,1,4,0,1,0,0,10
1,0,3,2,1,3,0,0,0,0
1,0,0,0,2,0,0,0,0,5
1,0,2,0,6,0,0,0,0,0
1,0,0,0,3,0,0,0,0,4
1,0,0,0,9,0,0,0,3,0
1,0,2,0,8,0,0,0,0,0
1,0,2,0,1,3,0,0,0,0
1,0,3,0,12,0,0,1,0,0
1,1,1,0,2,0,0,0,0,1
1,1,1,0,6,0,0,0,0,2
1,0,2,0,1,1,1,1,0,5
1,0,3,0,3,0,1,0,0,3
1,0,2,0,2,0,0,0,1,1
1,0,1,0,4,0,0,0,0,8
1,1,0,1,4,0,0,0,0,3
1,0,2,0,3,0,0,0,0,0
1,0,2,0,3,0,0,0,0,1
1,0,0,0,3,0,1,0,0,6
1,0,2,0,5,2,0,0,2,3
1,0,2,0,3,0,0,0,0,3
1,0,5,0,7,0,0,0,0,0
1,0,3,0,7,2,0,2,1,6
1,0,0,1,10,0,0,0,3,0
1,0,0,0,5,0,0,0,0,0
1,0,2,1,12,0,0,0,1,0
1,1,0,0,1,0,0,0,1,0
1,0,0,0,1,0,0,0,0,1
1,0,0,0,5,0,0,0,0,3
1,1,2,0,12,0,1,0,0,3
1,0,2,0,8,0,0,0,0,2
1,0,1,0,6,0,1,0,0,0
1,1,2,0,8,0,0,0,5,0
1,0,0,0,3,0,0,0,0,2
1,1,3,0,5,0,0,0,0,0
1,0,0,0,2,0,1,0,0,1
1,0,3,0,6,3,0,0,0,1
1,0,2,0,8,0,0,0,0,4
1,0,2,0,0,0,1,0,0,1
1,0,2,0,3,0,0,0,0,9
1,0,1,0,5,1,0,0,1,5
1,4,0,0,7,0,0,0,0,4
1,1,2,0,3,0,0,0,0,10
1,0,1,0,7,0,0,0,0,2
1,0,1,0,3,0,0,0,0,0
1,0,0,0,7,1,0,0,0,1
1,0,0,0,1,0,0,0,0,1
1,1,2,1,8,0,0,1,1,2
1,1,1,0,3,0,1,0,0,6
1,0,2,0,2,0,0,0,0,8
1,2,0,0,2,0,0,0,0,3
1,0,2,0,2,0,0,0,0,1
1,0,1,0,5,0,0,0,0,3
1,0,0,0,7,1,0,0,0,1
1,1,1,0,4,0,0,0,0,1
1,0,0,0,2,0,0,0,2,1
1,0,0,0,5,1,1,0,0,0
1,0,1,0,13,0,0,0,0,0
1,0,1,0,5,1,0,1,0,0
1,0,3,0,5,0,1,0,0,5
1,2,3,0,4,2,0,0,0,3
1,0,2,0,2,0,0,0,0,1
1,0,2,1,0,2,0,0,0,4
1,0,1,1,3,0,0,0,0,2
1,0,1,0,1,0,0,0,0,1
1,0,2,0,12,0,0,0,1,1
1,0,4,0,4,1,2,0,0,2
1,0,0,1,13,0,0,0,1,0
1,0,2,0,16,2,0,0,0,4
1,0,0,0,10,0,0,0,0,1
1,0,0,0,7,0,0,0,0,9
1,0,3,1,5,0,0,0,0,3
1,0,2,0,11,0,0,0,0,1
1,0,1,0,5,0,0,1,1,6
1,1,1,0,6,0,0,1,0,3
1,0,1,0,0,0,0,0,0,1
1,0,1,0,6,0,0,0,0,0
1,0,4,0,6,0,0,0,2,0
1,2,3,1,9,0,0,0,0,0
1,0,1,0,1,0,0,0,0,1
1,0,0,0,2,0,0,0,1,0
1,0,0,0,2,0,0,1,0,2
1,0,1,0,4,1,0,0,0,4
1,0,0,0,4,0,0,0,0,1
1,0,3,0,11,0,0,0,0,4
1,0,0,1,9,0,0,0,1,0
1,0,1,0,2,0,0,0,1,1
1,0,3,0,4,0,0,0,2,8
1,0,1,0,7,0,0,0,1,0
1,0,1,0,11,0,0,0,0,0
1,0,1,0,10,0,0,1,0,1
1,0,2,0,6,0,0,0,0,3
1,0,0,0,2,0,0,0,0,4
1,0,0,0,7,0,0,0,0,0
1,1,1,0,2,0,0,0,0,1
1,0,2,0,5,0,0,0,2,0
1,1,2,2,12,0,0,0,0,2
1,0,0,0,7,0,1,0,0,0
1,4,0,0,9,2,0,0,0,6
1,1,1,0,2,0,0,0,0,2
1,0,1,0,8,0,1,0,5,0
1,0,0,0,0,0,0,0,0,0
1,1,1,1,5,0,0,0,0,1
1,1,2,0,1,0,0,0,0,12
1,2,4,0,5,0,0,0,1,2
1,1,1,0,4,0,0,0,6,0
1,0,4,0,5,2,0,0,0,11
1,0,0,0,6,0,0,0,0,1
1,0,1,0,2,0,0,0,1,1
1,0,0,0,16,0,0,0,0,0
1,0,4,0,2,0,1,0,0,1
1,2,0,1,5,0,0,0,0,1
1,0,1,0,2,0,0,0,0,3
1,4,2,0,5,0,0,0,0,17
1,0,0,0,2,0,0,0,0,1
1,0,1,0,2,0,0,0,0,3
1,1,0,0,2,0,0,0,3,3
1,3,3,0,13,1,1,1,1,7
1,0,1,0,8,0,1,0,1,5
1,0,0,0,2,0,0,0,1,1
1,0,2,0,9,0,0,0,0,1
1,0,0,0,3,1,0,0,0,10
1,0,0,0,9,0,0,0,0,1
1,0,0,0,7,0,0,0,0,9
1,1,3,0,10,0,0,0,1,3
1,0,0,0,7,1,0,0,1,0
1,1,3,0,10,0,1,0,0,1
1,0,2,0,4,2,0,0,0,11
1,0,1,0,1,0,0,0,0,0
1,0,1,0,1,1,1,0,1,4
1,0,2,0,4,0,1,0,0,0
1,0,1,0,0,1,0,0,0,0
1,0,1,0,8,0,0,0,0,6
1,0,0,0,4,0,1,0,1,5
1,0,1,0,2,0,0,0,0,4
1,0,3,2,5,0,0,0,0,4
1,0,3,0,4,2,0,0,1,0
1,0,1,0,2,0,0,0,0,0
1,0,2,0,9,0,0,1,0,8
1,0,2,0,9,0,0,0,1,5
1,0,0,0,0,1,1,0,0,0
1,0,1,0,2,0,1,0,0,0
1,1,2,0,9,0,0,0,0,4
1,0,1,0,7,1,0,0,1,7
1,0,1,0,5,2,0,0,0,2
1,0,1,0,1,0,0,0,0,7
1,0,1,0,8,0,0,1,2,2
1,1,2,0,7,1,0,0,0,1
1,0,0,0,12,0,0,0,0,0
1,0,0,0,2,0,1,0,0,2
1,0,0,0,2,0,0,0,0,3
1,0,4,1,4,0,0,0,0,2
1,1,2,0,3,1,0,0,0,2
1,0,0,0,5,1,0,0,0,0
1,0,0,0,8,0,0,0,0,1
1,0,1,1,6,1,1,0,0,0
1,1,3,0,11,0,0,0,2,0
1,0,3,0,5,0,0,0,0,2
1,0,0,0,1,1,0,0,0,0
1,0,1,0,6,2,0,1,0,2
1,0,1,0,1,0,0,0,0,4
1,0,0,0,4,0,0,1,2,1
1,0,1,0,6,1,1,0,0,4
1,2,1,0,3,0,0,0,0,5
1,0,2,1,5,1,0,0,1,5
1,1,1,0,2,0,1,0,2,4
1,0,3,0,3,0,0,0,1,1
1,1,3,0,8,1,0,0,1,2
1,0,1,0,10,1,0,0,0,0
1,3,0,0,6,0,0,0,1,3
1,0,0,0,1,0,0,0,1,6
1,1,4,0,9,1,0,0,0,5
1,0,0,0,3,0,0,0,0,6
1,0,1,0,7,0,0,1,0,1
1,0,1,0,4,0,0,0,0,4
1,0,3,0,4,1,0,0,0,0
1,0,1,0,0,4,0,0,0,0
1,0,0,0,2,0,0,0,1,1
1,0,1,0,5,1,0,0,1,2
1,0,1,1,9,0,1,0,1,6
1,0,0,0,1,0,1,0,1,3
1,0,2,0,1,0,0,0,0,6
1,0,0,0,4,1,0,0,1,2
1,0,1,0,7,0,0,0,0,1
1,2,1,0,12,3,0,0,0,6
1,0,4,0,5,1,0,0,0,3
1,0,0,0,5,1,0,0,1,1
1,1,1,1,7,0,0,0,0,3
1,0,4,1,6,0,0,0,0,0
1,0,3,0,5,0,0,0,0,2
1,1,1,0,5,0,0,0,1,1
1,0,0,0,2,0,0,0,0,1
1,0,0,0,6,0,0,0,0,2
1,0,0,0,1,1,0,0,0,1
1,0,0,0,9,0,0,0,1,0
1,0,5,0,14,0,1,0,0,0
1,1,0,0,4,1,0,0,0,0
1,0,1,0,8,0,0,0,0,0
1,0,5,0,7,1,0,0,2,0
1,0,0,0,1,0,0,0,0,0
1,0,0,0,10,3,0,0,1,4
1,1,3,0,9,0,0,0,0,6
1,0,0,0,2,0,0,0,0,8
1,0,4,0,13,0,0,0,1,14
1,0,2,0,5,0,0,0,0,1
1,0,3,0,11,1,0,0,0,4
1,0,1,1,1,0,0,0,1,0
1,1,3,0,13,0,0,2,0,0
1,0,0,0,3,0,0,0,0,1
1,0,0,0,6,0,0,0,0,0
1,0,0,0,4,0,0,1,0,0
1,1,2,0,10,0,0,0,1,0
1,0,0,0,5,0,0,0,0,1
1,1,1,0,5,0,0,0,0,0
1,0,4,0,5,1,1,0,0,6
1,0,0,0,11,0,0,0,0,0
1,1,2,0,4,1,14,0,0,7
